No,title,github/code,paper reading article,project link,Catorgory,Oral day,Oral session,Oral time,Poster day,Poster session,Poster #,First author,Author
118,Collaborative Global-Local Networks for Memory-Efficient Segmentation of Ultra-High Resolution Images,https://github.com/chenwydj/ultra_high_resolution_segmentation,,,,Thursday,Oral 3.1C,9:34,Thursday,Poster 3.1,66,Wuyang Chen,"Wuyang Chen, Ziyu Jiang, Zhangyang Wang, Kexin Cui, Xiaoning Qian"
329,Fully Automatic Video Colorization With Self-Regularization and Diversity,https://github.com/ChenyangLEI/Fully-Automatic-Video-Colorization-with-Self-Regularization-and-Diversity,,,,,,,Tuesday,Poster 1.2,146,Chenyang Lei,
330,Multi-Label Image Recognition With Graph Convolutional Networks,https://github.com/chenzhaomin123/ML_GCN,,,,,,,Wednesday,Poster 2.1,63,Zhao-Min Chen,"Zhao-Min Chen, Xiu-Shen Wei, Peng Wang, Yanwen Guo"
80,Learning Attraction Field Representation for Robust Line Segment Detection,https://github.com/cherubicXN/afm_cvpr2019,,,,,,,Tuesday,Poster 1.1,161,Nan Xue,"Nan Xue,?Song Bai,?Fudong Wang,?Gui-Song Xia,?Tianfu Wu,?Liangpei Zhang"
101,The Regretful Agent: Heuristic-Aided Navigation Through Progress Estimation,https://github.com/chihyaoma/regretful-agent,,,,Wednesday,Oral 2.2B,15:00,Wednesday,Poster 2.2,192,Chih-Yao Ma,"Chih-Yao Ma, Zuxuan Wu, Ghassan AlRegib, Caiming Xiong, Zsolt Kira"
262,Iterative Residual CNNs for Burst Photography Applications,https://github.com/cig-skoltech/burst-cvpr-2019,,,,,,,Wednesday,Poster 2.1,169,Filippos Kokkinos,Filippos Kokkinos ? Stamatis Lefkimmiatis 
119,Improving Transferability of Adversarial Examples With Input Diversity,https://github.com/cihangxie/DI-2-FGSM,,,,,,,Tuesday,Poster 1.2,7,Cihang Xie,Cihang Xie; Yuyin Zhou; Song Bai; Zhishuai Zhang; Jianyu Wang; Zhou Ren; Alan Yuille
132,TOUCHDOWN: Natural Language Navigation and Spatial Reasoning in Visual Street Environments,https://github.com/clic-lab/touchdown,,,,,,,Thursday,Poster 3.2,195,Howard Chen,"Howard Chen, Alane Suhr, Dipendra Misra, Noah Snavely, Yoav Artzi"
679,Character Region Awareness for Text Detection,https://github.com/clovaai/CRAFT-pytorch,,,,,,,Thursday,Poster 3.1,43,Youngmin Baek,
563,"Monocular Total Capture: Posing Face, Body, and Hands in the Wild",https://github.com/CMU-Perceptual-Computing-Lab/MonocularTotalCapture,,http://domedb.perception.cs.cmu.edu/monototalcapture.html,,Thursday,Oral 3.2B,15:05,Thursday,Poster 3.2,108,Donglai Xiang,"Donglai Xiang, Hanbyul Joo, Yaser Sheikh"
68,Panoptic Segmentation,https://github.com/cocodataset/panopticapi,,,,,,,Thursday,Poster 3.1,47,Alexander Kirillov,"Huanyu Liu, Chao Peng, Changqian Yu, Jingbo Wang, Xu Liu, Gang Yu, Wei Jiang"
331,Towards Natural and Accurate Future Motion Prediction of Humans and Animals,https://github.com/CoderStellaJ/Hierarchical-Motion-Recurrent-Network-Website,https://coderstellaj.github.io/Hierarchical-Motion-Recurrent-Network-Website/,,,,,,Thursday,Poster 3.1,138,Zhenguang Liu,Zhenguang Liu (Zhejiang Gongshang University)*; Shuang Wu (Nanyang Technological University); Shuyuan Jin (NUS); Qi Liu (National University of Singapore); Shijian Lu (Nanyang Technological University); Roger Zimmermann (NUS); Li Cheng (University of Alberta)
1067,Deep Defocus Map Estimation Using Domain Adaptation,https://github.com/codeslake/SYNDOF,,,,,,,Thursday,Poster 3.2,145,Junyong Lee,
332,COIN: A Large-Scale Dataset for Comprehensive Instructional Video Analysis,https://github.com/coin-dataset/code,https://mp.weixin.qq.com/s/YFmgdIEfLCvL5LLGQ0vesw,https://coin-dataset.github.io/,,,,,Tuesday,Poster 1.1,122,Yansong Tang,"Yansong Tang, Dajun Ding, Yongming Rao, Yu Zheng, Danyang Zhang, Lili Zhao, Jiwen Lu, Jie Zhou"
333,Context-Aware Crowd Counting,https://github.com/CommissarMa/Context-Aware_Crowd_Counting-pytorch,,,,,,,Wednesday,Poster 2.1,55,Weizhe Liu,"Weizhe Liu, Mathieu Salzmann, Pascal Fua"
334,Acoustic Non-Line-Of-Sight Imaging,https://github.com/computational-imaging/AcousticNLOS,,http://www.computationalimaging.org/publications/acoustic-non-line-of-sight-imaging/,,Wednesday,Oral 2.2C,13:40,Wednesday,Poster 2.2,132,David B. Lindell,"David B. Lindell, Gordon Wetzstein, Vladlen Koltun"
335,Divide and Conquer the Embedding Space for Metric Learning,https://github.com/CompVis/metric-learning-divide-and-conquer,,,,,,,Tuesday,Poster 1.1,24,Artsiom Sanakoyeu,"Sanakoyeu, Artsiom and Tschernezki, Vadim and B\""uchler, Uta and Ommer, Bj\""orn"
1277,A Neural Temporal Model for Human Motion Prediction,https://github.com/cr7anand/neural_temporal_models,,,,,,,Thursday,Poster 3.2,134,Anand Gopalakrishnan,
130,Progressive Image Deraining Networks: A Better and Simpler Baseline,https://github.com/csdwren/PReNet,,,,,,,Tuesday,Poster 1.2,165,Dongwei Ren,"Dongwei Ren, Wangmeng Zuo, Qinghua Hu, Pengfei Zhu, Deyu Meng"
186,Supervised Fitting of Geometric Primitives to 3D Point Clouds,https://github.com/csimstu2/SPFN,,,,Tuesday,Oral 1.2C,15:05,Tuesday,Poster 1.2,182,Lingxiao Li,"Lingxiao Li, Minhyuk Sung, Anastasia Dubrovina, Li Yi, Leonidas Guibas"
336,STGAN: A Unified Selective Transfer Network for Arbitrary Image Attribute Editing,https://github.com/csmliu/STGAN?,,,,,,,Tuesday,Poster 1.2,138,Ming Liu,"Ming Liu, Yukang Ding, Min Xia, Xiao Liu, Errui Ding, Wangmeng Zuo, Shilei Wen"
28,Deep Plug-And-Play Super-Resolution for Arbitrary Blur Kernels,https://github.com/cszn/DPSR,,,,,,,Tuesday,Poster 1.1,169,Kai Zhang,"Kai Zhang, Wangmeng Zuo, Lei Zhang"
192,Segmentation-Driven 6D Object Pose Estimation,https://github.com/cvlab-epfl/segmentation-driven-pose,,,,,,,Tuesday,Poster 1.2,91,Yinlin Hu,"Yinlin Hu, Joachim Hugonot, Pascal Fua, Mathieu Salzmann"
179,Learning to Adapt for Stereo,https://github.com/CVLAB-Unibo/Learning2AdaptForStereo,,,,,,,Thursday,Poster 3.1,103,Alessio Tonioni,"Alessio Tonioni, Oscar Rahnama, Thomas Joy, Luigi Di Stefano, Thalaiyasingam Ajanthan, Philip H. S. Torr"
76,Real-Time Self-Adaptive Deep Stereo,https://github.com/CVLAB-Unibo/Real-time-self-adaptive-deep-stereo,,,,Tuesday,Oral 1.1B,9:41,Tuesday,Poster 1.1,79,Alessio Tonioni,"Alessio Tonioni, Fabio Tosi, Matteo Poggi, Stefano Mattoccia, Luigi Di Stefano?"
337,Example-Guided Style-Consistent Image Synthesis From Semantic Labeling,https://github.com/cxjyxxme/pix2pixSC,,,,,,,Tuesday,Poster 1.1,151,Miao Wang,"Miao Wang1, Guo-Ye Yang2, Ruilong Li2, Run-Ze Liang2, Song-Hai Zhang2, Peter M. Hall3?and Shi-Min Hu"
62,Rethinking Knowledge Graph Propagation for Zero-Shot Learning,https://github.com/cyvius96/adgpm,,,,,,,Thursday,Poster 3.2,52,Michael Kampffmeyer,"Michael Kampffmeyer, Yinbo Chen, Xiaodan Liang, Hao Wang, Yujia Zhang, Eric P. Xing"
56,Learning Implicit Fields for Generative Shape Modeling,https://github.com/czq142857/implicit-decoder?,,,,,,,Wednesday,Poster 2.1,170,Zhiqin Chen,"Zhiqin Chen, Hao Zhang"
14,PartNet: A Large-Scale Benchmark for Fine-Grained and Hierarchical Part-Level 3D Object Understanding,https://github.com/daerduoCarey/partnet_dataset,,https://cs.stanford.edu/~kaichun/partnet/,,,,,Tuesday,Poster 1.1,68,Kaichun Mo,"Kaichun Mo, Shilin Zhu, Angel X. Chang, Li Yi, Subarna Tripathi, Leonidas J. Guibas, Hao Su"
338,Visual Tracking via Adaptive Spatially-Regularized Correlation Filters,https://github.com/Daikenan/ASRCF ,,,,Wednesday,Oral 2.1C,9:29,Wednesday,Poster 2.1,145,Kenan Dai,"Kenan Dai, Dong Wang, Huchuan Lu, Chong Sun, Jianhua Li"
339,Second-Order Attention Network for Single Image Super-Resolution,https://github.com/daitao/SAN,,,,Thursday,Oral 3.2C,14:16,Thursday,Poster 3.2,155,Tao Dai,
340,Dual Encoding for Zero-Example Video Retrieval,https://github.com/danieljf24/dual_encoding,,,,,,,Thursday,Poster 3.1,41,Jianfeng Dong,"Jianfeng Dong, Xirong Li, Chaoxi Xu, Shouling Ji, Yuan He, Gang Yang and Xun Wang"
341,MAGSAC: Marginalizing Sample Consensus,https://github.com/danini/magsac,,,,,,,Thursday,Poster 3.1,158,Daniel Barath,
957,Disentangling Adversarial Robustness and Generalization,https://github.com/davidstutz/cvpr2019-adversarial-robustness,,,,,,,Wednesday,Poster 2.2,5,David Stutz,
512,Few-Shot Learning With Localization in Realistic Settings,https://github.com/daviswer/fewshotlocal,,,,Wednesday,Oral 2.2A,15:05,Wednesday,Poster 2.2,41,Davis Wertheimer,
231,Vision-Based Navigation With Language-Based Assistance via Imitation Learning With Indirect Intervention,https://github.com/debadeepta/vnla,,,,,,,Thursday,Poster 3.2,194,Khanh Nguyen,"Khanh Nguyen, Debadeepta Dey, Chris Brockett, Bill Dolan"
15,ABC: A Big CAD Model Dataset for Geometric Deep Learning,https://github.com/deep-geometry/abc-dataset?,,,,,,,Thursday,Poster 3.1,97,Sebastian Koch,"Sebastian Koch, Albert Matveev, Zhongshi Jiang, Francis Williams, Alexey Artemov, Evgeny Burnaev, Marc Alexa, Denis Zorin, Daniele Panozzo"
4,ArcFace: Additive Angular Margin Loss for Deep Face Recognition,https://github.com/deepinsight/insightface,,,,Wednesday,Oral 2.1C,9:42,Wednesday,Poster 2.1,147,Jiankang Deng,"Jiankang Deng, Jia Guo, Niannan Xue, Stefanos Zafeiriou"
342,Exploiting Temporal Context for 3D Human Pose Estimation in the Wild,https://github.com/deepmind/Temporal-3D-Pose-Kinetics?,,,,,,,Tuesday,Poster 1.2,92,Anurag Arnab,"Anurag Arnab, Carl Doersch, Andrew Zisserman"
343,Shifting More Attention to Video Salient Object Detection,https://github.com/DengPingFan/DAVSOD,,,,Thursday,Oral 3.1A,8:48,Thursday,Poster 3.1,193,Deng-Ping Fan,"Deng-Ping Fan, Wenguan Wang, Ming-Ming Cheng, Jianbing Shen"
144,Transferable Interactiveness Knowledge for Human-Object Interaction Detection,https://github.com/DirtyHarryLYL/Transferable-Interactiveness-Network,,,,,,,Tuesday,Poster 1.2,111,Yong-Lu Li,"Yong-Lu Li, Siyuan Zhou, Xijie Huang, Liang Xu, Ze Ma, Hao-Shu Fang, Yan-Feng Wang, Cewu Lu"
293,Beyond Gradient Descent for Regularized Segmentation Losses,https://github.com/dmitrii-marin/adm-seg,,,,,,,Thursday,Poster 3.1,157,Dmitrii Marin,"Dmitrii Marin, Meng Tang, Ismail Ben Ayed, Yuri Boykov"
6,Bag of Tricks for Image Classification with Convolutional Neural Networks,https://github.com/dmlc/gluon-cv,,,,,,,Tuesday,Poster 1.1,33,Tong He,"Tong He, Zhi Zhang, Hang Zhang, Zhongyue Zhang, Junyuan Xie, Mu Li"
251,Cross-Task Weakly Supervised Learning From Instructional Videos,https://github.com/DmZhukov/CrossTask,,,,,,,Tuesday,Poster 1.2,106,Dimitri Zhukov,"Dimitri Zhukov, Jean-Baptiste Alayrac, Ramazan Gokberk Cinbis, David Fouhey, Ivan Laptev, Josef Sivic"
207,LiFF: Light Field Features in Scale and Depth,https://github.com/doda42/LiFF,,,,,,,Wednesday,Poster 2.2,150,Donald G. Dansereau,"Donald G. Dansereau, Bernd Girod, Gordon Wetzstein"
344,Dense Relational Captioning: Triple-Stream Networks for Relationship-Based Captioning,https://github.com/Dong-JinKim/DenseRelationalCaptioning,,,,,,,Wednesday,Poster 2.1,204,Dong-Jin Kim,"Done by Dong-Jin Kim, Jinsoo Choi, Tae-Hyun Oh, and In So Kweon"
345,Fast Neural Architecture Search of Compact Semantic Segmentation Models via Auxiliary Cells,https://github.com/DrSleep/nas-segm-pytorch,,,,,,,Thursday,Poster 3.1,18,Vladimir Nekrasov,"Vladimir Nekrasov, Hao Chen, Chunhua Shen, Ian Reid"
346,OICSR: Out-In-Channel Sparsity Regularization for Compact Deep Neural Networks,https://github.com/dsfour/OICSR,,,,,,,Wednesday,Poster 2.2,12,Jiashi Li,"Jiashi Li, Qi Qi, Jingyu Wang, Ce Ge, Yujian Li, Zhangzhang Yue, Haifeng Sun"
347,CrossInfoNet: Multi-Task Information Sharing Based Hand Pose Estimation,https://github.com/dumyy/handpose ,,,,,,,Thursday,Poster 3.1,127,Kuo Du,"Kuo Du, Xiangbo Lin, Yi Sun, Xiaohong Ma"
348,Searching for a Robust Neural Architecture in Four GPU Hours,https://github.com/D-X-Y/GDAS?,,,,,,,Tuesday,Poster 1.1,178,Xuanyi Dong,"Xuanyi Dong, Yi Yang"
52,PointConv: Deep Convolutional Networks on 3D Point Clouds,https://github.com/DylanWusee/pointconv,,,,,,,Thursday,Poster 3.1,99,Wenxuan Wu,"Wenxuan Wu, Zhongang Qi, Li Fuxin"
163,Generalized Zero- and Few-Shot Learning via Aligned Variational Autoencoders,https://github.com/edgarschnfld/CADA-VAE-PyTorch,,,,,,,Wednesday,Poster 2.2,171,Edgar Schonfeld,"Edgar Sch?nfeld, Sayna Ebrahimi, Samarth Sinha, Trevor Darrell, Zeynep Akata"
43,Precise Detection in Densely Packed Scenes,https://github.com/eg4000/SKU110K_CVPR19,,,,,,,Wednesday,Poster 2.1,68,Eran Goldman,"Eran Goldman , Roei Herzig, Aviv Eisenschtat, Jacob Goldberger, Tal Hassner?"
349,Mixture Density Generative Adversarial Networks,https://github.com/eghbalz/mdgan,,,,,,,Wednesday,Poster 2.1,158,Hamid Eghbal-zadeh,"Hamid Eghbal-zadeh, Werner Zellinger, Gerhard Widmer"
